Order ID;Order Date;Order Priority;Order Quantity;Sales;Ship Mode;Shipping Cost;Province;Customer Segment;Product Category;Product Sub-Category;Product Container;Ship Date;
38503;04.05.2016;Low;47;5957,54;Regular Air;4,3;Ontario;Corporate;Office Supplies;Appliances;Small Box;04.05.2016;
43907;18.07.2019;Critical;42;1490,26;Delivery Truck;48,7;Quebec;Corporate;Furniture;Tables;Jumbo Box;20.07.2019;
52642;13.06.2018;Low;9;794,84;Delivery Truck;64;Ontario;Home Office;Furniture;Chairs & Chairmats;Jumbo Drum;17.06.2018;
57029;07.03.2018;Critical;17;79,45;Regular Air;5,6;Quebec;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;08.03.2018;
2790;17.08.2016;High;7;49,12;Regular Air;8;British Columbia;Home Office;Office Supplies;Binders and Binder Accessories;Small Box;18.08.2016;
9985;06.08.2017;Low;12;87,63;Regular Air;5,6;Alberta;Consumer;Office Supplies;Paper;Small Box;06.08.2017;
14951;16.05.2018;Medium;34;2973,74;Regular Air;7,7;Saskachewan;Home Office;Technology;Computer Peripherals;Small Box;18.05.2018;
43301;20.08.2016;Critical;33;3785,49;Delivery Truck;44,9;Alberta;Small Business;Furniture;Chairs & Chairmats;Jumbo Drum;21.08.2016;
30214;03.10.2016;Low;38;401,9;Express Air;6,2;Manitoba;Home Office;Office Supplies;Binders and Binder Accessories;Small Box;10.10.2016;
20160;21.10.2018;Low;42;465,71;Express Air;1,9;Northwest Territories;Small Business;Office Supplies;Paper;Wrap Bag;23.10.2018;
30016;03.01.2016;Critical;8;807,48;Regular Air;2,7;Ontario;Corporate;Technology;Telephones and Communication;Small Box;06.01.2016;
8161;02.06.2016;High;45;120,61;Regular Air;0,5;Yukon;Consumer;Office Supplies;Labels;Small Box;04.06.2016;
38496;19.02.2017;Critical;23;124,7299;Regular Air;5,1;Ontario;Corporate;Office Supplies;Paper;Small Box;21.02.2017;
40934;12.11.2018;Not Specified;28;52,95;Regular Air;0,7;Quebec;Home Office;Office Supplies;Pens & Art Supplies;Wrap Bag;13.11.2018;
25120;04.02.2016;Medium;22;191,77;Regular Air;11,9;Saskachewan;Corporate;Office Supplies;Paper;Small Box;05.02.2016;
23264;06.12.2017;Critical;16;116,01;Regular Air;7,3;Northwest Territories;Corporate;Office Supplies;Paper;Small Box;08.12.2017;
45088;21.11.2017;Low;9;1518,28;Regular Air;4,5;Alberta;Home Office;Technology;Telephones and Communication;Small Box;28.11.2017;
22628;28.10.2016;Medium;30;3158,32;Delivery Truck;79,6;New Brunswick;Corporate;Furniture;Chairs & Chairmats;Jumbo Drum;31.10.2016;
1028;05.01.2016;High;11;2162,63;Regular Air;6,4;British Columbia;Consumer;Technology;Telephones and Communication;Small Box;07.01.2016;
58407;05.05.2018;High;29;1786,7716;Regular Air;15,3;Nova Scotia;Corporate;Office Supplies;Paper;Small Box;08.05.2018;
2370;16.01.2016;Critical;6;727,17;Regular Air;15;Quebec;Consumer;Furniture;Office Furnishings;Medium Box;18.01.2016;
36390;12.10.2019;High;3;352,7;Regular Air;9,6;Nova Scotia;Corporate;Technology;Telephones and Communication;Small Box;14.10.2019;
59783;18.08.2017;Low;36;82,85;Regular Air;2,7;Yukon;Corporate;Office Supplies;Scissors, Rulers and Trimmers;Small Pack;23.08.2017;
41571;05.06.2018;Low;42;969,49;Regular Air;9,6;Ontario;Corporate;Office Supplies;Pens & Art Supplies;Small Pack;14.06.2018;
7203;08.01.2016;High;25;23274,65;Regular Air;21,4;Alberta;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;10.01.2016;
22882;12.09.2017;Critical;10;76,23;Regular Air;3,3;Saskachewan;Home Office;Office Supplies;Paper;Wrap Bag;14.09.2017;
10791;18.08.2018;Not Specified;20;428,61;Regular Air;6,2;Northwest Territories;Small Business;Office Supplies;Paper;Small Box;20.08.2018;
47778;13.02.2017;Critical;12;186,3;Regular Air;7,3;Alberta;Corporate;Furniture;Office Furnishings;Wrap Bag;15.02.2017;
18465;14.04.2017;High;12;873,37;Regular Air;37,5;Ontario;Small Business;Office Supplies;Storage & Organization;Large Box;16.04.2017;
39815;08.04.2016;Low;43;4360,65;Regular Air;9,6;Ontario;Consumer;Technology;Telephones and Communication;Small Box;12.04.2016;
59879;08.03.2016;Not Specified;33;1056,43;Express Air;3,5;Saskachewan;Corporate;Technology;Telephones and Communication;Small Pack;10.03.2016;
20096;19.08.2019;Low;35;6544,24;Delivery Truck;31,3;Yukon;Consumer;Furniture;Tables;Jumbo Box;24.08.2019;
19522;19.10.2016;Medium;37;68,87;Regular Air;0,7;Quebec;Consumer;Office Supplies;Pens & Art Supplies;Wrap Bag;20.10.2016;
11527;01.07.2016;Medium;45;4953,75;Regular Air;9,6;Quebec;Home Office;Furniture;Office Furnishings;Small Pack;03.07.2016;
15718;27.01.2016;Critical;36;107,93;Regular Air;0,7;Ontario;Corporate;Office Supplies;Pens & Art Supplies;Wrap Bag;28.01.2016;
46337;27.04.2019;Low;34;65,75;Regular Air;0,7;Quebec;Corporate;Office Supplies;Pens & Art Supplies;Wrap Bag;02.05.2019;
19365;15.01.2018;Medium;29;194,56;Regular Air;5,6;Prince Edward Island;Small Business;Office Supplies;Paper;Small Box;16.01.2018;
18341;17.07.2017;Critical;39;254,54;Regular Air;8,5;Quebec;Consumer;Office Supplies;Paper;Small Box;17.07.2017;
3778;24.05.2017;Critical;34;286,86;Regular Air;2,5;Quebec;Home Office;Technology;Computer Peripherals;Small Pack;26.05.2017;
23104;08.04.2018;Medium;24;152,8;Regular Air;3,6;Saskachewan;Small Business;Office Supplies;Rubber Bands;Wrap Bag;11.04.2018;
24643;29.04.2019;Medium;30;2533,94;Regular Air;1,3;Ontario;Corporate;Technology;Telephones and Communication;Small Pack;01.05.2019;
28642;17.01.2018;High;41;246,41;Regular Air;3,2;Ontario;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;19.01.2018;
20192;05.10.2017;Low;35;1738,4;Regular Air;2,1;Manitoba;Home Office;Technology;Computer Peripherals;Small Pack;12.10.2017;
38789;13.11.2017;High;9;103,2764;Regular Air;5,5;Quebec;Small Business;Furniture;Office Furnishings;Small Box;14.11.2017;
40097;09.01.2016;Low;47;126,13;Regular Air;2,6;Ontario;Home Office;Office Supplies;Pens & Art Supplies;Wrap Bag;14.01.2016;
2240;05.03.2019;Not Specified;5;152,41;Regular Air;6,6;Saskachewan;Consumer;Office Supplies;Pens & Art Supplies;Small Pack;06.03.2019;
28290;10.01.2016;Low;3;560,23;Express Air;21,4;Ontario;Home Office;Office Supplies;Storage & Organization;Small Box;12.01.2016;
36805;13.12.2017;Medium;7;282,27;Regular Air;5,4;British Columbia;Corporate;Furniture;Office Furnishings;Small Box;15.12.2017;
26274;12.06.2019;Not Specified;41;404,28;Regular Air;2,3;Yukon;Corporate;Office Supplies;Paper;Wrap Bag;13.06.2019;
26567;03.09.2016;Critical;8;54,249;Regular Air;8,3;Northwest Territories;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;03.09.2016;
44869;22.08.2019;Medium;43;303;Regular Air;8;Alberta;Corporate;Office Supplies;Paper;Small Box;24.08.2019;
33220;14.04.2016;Not Specified;49;3521,51;Regular Air;3,7;Saskachewan;Consumer;Office Supplies;Appliances;Small Box;14.04.2016;
49029;20.05.2019;High;49;8798,68;Express Air;4,3;Prince Edward Island;Corporate;Technology;Telephones and Communication;Small Box;22.05.2019;
56834;30.04.2018;High;22;2033,5;Delivery Truck;32,2;Alberta;Corporate;Technology;Office Machines;Jumbo Box;02.05.2018;
38656;10.08.2019;Low;13;68,97;Regular Air;0,5;British Columbia;Consumer;Office Supplies;Labels;Small Box;10.08.2019;
3777;06.04.2016;Medium;14;261,9895;Express Air;9,6;Ontario;Small Business;Furniture;Office Furnishings;Small Pack;07.04.2016;
45571;23.09.2019;Medium;47;6393,3;Regular Air;9,6;Manitoba;Consumer;Technology;Telephones and Communication;Small Box;25.09.2019;
32001;27.10.2018;Low;11;3684,23;Regular Air;15;Quebec;Small Business;Technology;Office Machines;Medium Box;29.10.2018;
59652;26.01.2018;Medium;17;333,88;Regular Air;1,1;Yukon;Home Office;Technology;Telephones and Communication;Small Pack;28.01.2018;
53508;09.11.2016;High;4;66,85;Regular Air;2,1;Manitoba;Consumer;Office Supplies;Paper;Wrap Bag;09.11.2016;
44422;13.04.2019;Medium;11;215,71;Regular Air;1,1;Manitoba;Corporate;Technology;Telephones and Communication;Wrap Bag;15.04.2019;
47749;15.03.2017;Medium;46;427,55;Regular Air;8,3;Northwest Territories;Small Business;Office Supplies;Scissors, Rulers and Trimmers;Small Pack;15.03.2017;
10784;04.07.2017;Not Specified;30;220,71;Regular Air;5,9;Quebec;Home Office;Office Supplies;Binders and Binder Accessories;Small Box;06.07.2017;
33186;28.08.2019;Low;24;1445,07;Regular Air;5,6;Northwest Territories;Corporate;Technology;Telephones and Communication;Small Box;30.08.2019;
24966;16.12.2018;Medium;34;4442,77;Regular Air;21,4;Manitoba;Corporate;Office Supplies;Storage & Organization;Small Box;17.12.2018;
27717;25.10.2018;Critical;19;80,45;Regular Air;8;Manitoba;Corporate;Office Supplies;Labels;Small Box;28.10.2018;
225;23.05.2018;Critical;1;25,36;Regular Air;4,4;Quebec;Home Office;Office Supplies;Pens & Art Supplies;Wrap Bag;25.05.2018;
5318;02.04.2017;High;29;5361,49;Express Air;4,5;British Columbia;Consumer;Technology;Telephones and Communication;Small Box;03.04.2017;
20225;25.07.2017;Low;22;132,038;Regular Air;0,9;Yukon;Corporate;Office Supplies;Pens & Art Supplies;Wrap Bag;01.08.2017;
55809;09.09.2018;Critical;2;268,25;Delivery Truck;48,2;Ontario;Consumer;Furniture;Chairs & Chairmats;Jumbo Drum;11.09.2018;
10439;28.03.2019;Not Specified;30;609,4827;Regular Air;4,3;Alberta;Consumer;Technology;Computer Peripherals;Small Box;30.03.2019;
24007;25.08.2017;Low;42;174,5;Regular Air;0,5;Northwest Territories;Home Office;Office Supplies;Labels;Small Box;29.08.2017;
7744;16.11.2016;Low;1;8,92;Regular Air;1,5;Ontario;Corporate;Office Supplies;Envelopes;Small Box;25.11.2016;
2593;02.09.2017;High;15;4110,64;Delivery Truck;46,4;Saskachewan;Corporate;Furniture;Chairs & Chairmats;Jumbo Drum;03.09.2017;
27460;11.05.2016;Not Specified;7;914,88;Regular Air;13,5;Manitoba;Corporate;Furniture;Chairs & Chairmats;Medium Box;12.05.2016;
30913;22.09.2019;Medium;24;531,38;Express Air;11,2;Alberta;Corporate;Furniture;Office Furnishings;Small Box;24.09.2019;
7427;15.12.2019;Not Specified;47;17122,45;Regular Air;21,4;British Columbia;Corporate;Office Supplies;Appliances;Small Box;15.12.2019;
28007;07.04.2017;Not Specified;23;138;Regular Air;52,4;Yukon;Small Business;Office Supplies;Appliances;Large Box;08.04.2017;
30149;11.12.2017;Medium;5;185,77;Delivery Truck;20,5;British Columbia;Corporate;Furniture;Chairs & Chairmats;Jumbo Drum;13.12.2017;
46531;20.08.2018;Low;39;4505,77;Regular Air;73,8;Nova Scotia;Consumer;Furniture;Tables;Large Box;27.08.2018;
53795;29.01.2019;High;21;3591,7065;Regular Air;4,5;Ontario;Home Office;Technology;Telephones and Communication;Small Box;31.01.2019;
42886;07.01.2019;Medium;42;173,9499;Regular Air;0,5;Saskachewan;Corporate;Office Supplies;Labels;Small Box;09.01.2019;
34660;02.09.2018;Not Specified;36;4100,64;Regular Air;6,2;Saskachewan;Home Office;Furniture;Office Furnishings;Medium Box;04.09.2018;
29287;01.07.2016;High;50;301,09;Regular Air;5,4;Northwest Territories;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;03.07.2016;
36452;04.04.2016;High;18;138,54;Regular Air;3;Ontario;Home Office;Furniture;Office Furnishings;Small Pack;06.04.2016;
48706;30.10.2019;Low;28;33,38;Regular Air;0,7;Quebec;Small Business;Office Supplies;Rubber Bands;Wrap Bag;03.11.2019;
46310;20.07.2017;High;29;2070,72;Regular Air;12,4;Ontario;Home Office;Office Supplies;Binders and Binder Accessories;Small Box;21.07.2017;
38021;21.01.2016;Medium;46;1585,75;Regular Air;1,6;British Columbia;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;23.01.2016;
20292;08.11.2019;Medium;26;484,06;Regular Air;8,7;Saskachewan;Corporate;Office Supplies;Appliances;Medium Box;08.11.2019;
48034;13.07.2016;Not Specified;47;1012,07;Regular Air;5,9;Ontario;Home Office;Office Supplies;Pens & Art Supplies;Small Pack;14.07.2016;
16422;08.10.2018;Critical;16;183,505;Regular Air;5;Saskachewan;Small Business;Office Supplies;Scissors, Rulers and Trimmers;Small Pack;10.10.2018;
2211;28.06.2016;High;14;102,6023;Regular Air;7,7;Quebec;Home Office;Office Supplies;Paper;Small Box;30.06.2016;
16834;22.10.2017;Low;23;169,89;Regular Air;2,3;Alberta;Consumer;Office Supplies;Paper;Wrap Bag;29.10.2017;
7297;13.09.2016;High;26;1002,54;Regular Air;21,4;Ontario;Small Business;Furniture;Office Furnishings;Small Box;14.09.2016;
59909;05.08.2019;Low;11;1343,36;Delivery Truck;60,1;Ontario;Small Business;Technology;Office Machines;Jumbo Drum;07.08.2019;
53605;02.08.2017;Medium;19;541,94;Regular Air;5,7;New Brunswick;Consumer;Office Supplies;Appliances;Medium Box;04.08.2017;
43686;06.05.2018;Medium;16;1405,59;Regular Air;6,6;Alberta;Corporate;Technology;Computer Peripherals;Small Box;07.05.2018;
59108;06.10.2018;Low;21;73,33;Regular Air;4,2;Ontario;Corporate;Office Supplies;Pens & Art Supplies;Wrap Bag;11.10.2018;
11875;20.08.2019;Medium;19;259,61;Regular Air;6,7;British Columbia;Small Business;Office Supplies;Storage & Organization;Medium Box;21.08.2019;
25442;04.01.2019;High;32;1782,62;Regular Air;5,2;Newfoundland;Home Office;Office Supplies;Paper;Small Box;06.01.2019;
47942;26.02.2017;Medium;9;983,05;Express Air;8,2;Saskachewan;Corporate;Technology;Telephones and Communication;Small Box;27.02.2017;
37473;30.09.2016;Low;8;46,78;Regular Air;2,2;Quebec;Small Business;Office Supplies;Paper;Wrap Bag;30.09.2016;
48322;04.03.2019;Medium;14;44,27;Regular Air;0,7;British Columbia;Consumer;Office Supplies;Pens & Art Supplies;Wrap Bag;05.03.2019;
58500;13.02.2018;Low;17;1636,04;Regular Air;9,6;British Columbia;Home Office;Technology;Telephones and Communication;Small Box;13.02.2018;
51171;20.06.2017;High;34;838,32;Regular Air;16,2;British Columbia;Small Business;Office Supplies;Binders and Binder Accessories;Small Box;22.06.2017;
59809;07.03.2018;Not Specified;16;542,32;Regular Air;7;Saskachewan;Home Office;Technology;Computer Peripherals;Small Box;08.03.2018;
5958;14.09.2018;Medium;3;2179,56;Regular Air;26,2;Yukon;Small Business;Technology;Copiers and Fax;Large Box;16.09.2018;
7107;03.01.2019;Not Specified;3;184,08;Regular Air;11,9;Manitoba;Corporate;Furniture;Office Furnishings;Medium Box;03.01.2019;
28929;09.10.2019;Medium;46;773,79;Regular Air;13,3;Saskachewan;Corporate;Office Supplies;Envelopes;Small Box;11.10.2019;
12580;12.01.2017;Low;50;8600,75;Regular Air;21,4;Yukon;Small Business;Office Supplies;Binders and Binder Accessories;Small Box;14.01.2017;
54151;01.09.2016;Critical;35;220,2809;Regular Air;1,6;Ontario;Small Business;Office Supplies;Paper;Wrap Bag;02.09.2016;
55073;20.03.2019;Low;40;2543,0802;Regular Air;4,3;Ontario;Corporate;Technology;Telephones and Communication;Small Box;20.03.2019;
49472;15.07.2017;Low;15;154,23;Regular Air;2,1;Nova Scotia;Small Business;Technology;Computer Peripherals;Small Pack;20.07.2017;
44290;20.03.2017;Medium;49;543,97;Regular Air;5,8;Saskachewan;Corporate;Furniture;Office Furnishings;Small Pack;22.03.2017;
33894;13.06.2017;Critical;14;150,51;Regular Air;4,7;Northwest Territories;Corporate;Office Supplies;Paper;Wrap Bag;16.06.2017;
59779;16.05.2016;Low;30;3825,5;Delivery Truck;32,1;Saskachewan;Corporate;Furniture;Chairs & Chairmats;Jumbo Drum;23.05.2016;
7906;16.10.2016;Medium;37;1073,27;Regular Air;5,7;Nunavut;Consumer;Office Supplies;Appliances;Medium Box;16.10.2016;
27879;25.02.2017;Medium;30;322,712;Express Air;6,7;New Brunswick;Small Business;Furniture;Office Furnishings;Small Box;27.02.2017;
17573;03.09.2018;Low;47;23064,49;Delivery Truck;52,4;Alberta;Small Business;Technology;Copiers and Fax;Jumbo Drum;05.09.2018;
58599;13.01.2017;Critical;49;5705,69;Delivery Truck;32,1;Nova Scotia;Small Business;Furniture;Chairs & Chairmats;Jumbo Drum;14.01.2017;
58434;08.03.2016;High;42;902,58;Regular Air;6,6;Prince Edward Island;Home Office;Furniture;Office Furnishings;Small Pack;09.03.2016;
4359;01.03.2017;Critical;21;230,86;Regular Air;8;Saskachewan;Home Office;Office Supplies;Storage & Organization;Small Box;03.03.2017;
40193;02.09.2019;High;34;3349,32;Express Air;2,7;Ontario;Corporate;Technology;Telephones and Communication;Small Box;02.09.2019;
1761;22.12.2017;High;25;12870,2061;Delivery Truck;52,4;Nunavut;Corporate;Technology;Copiers and Fax;Jumbo Drum;24.12.2017;
56384;31.07.2019;Critical;47;275,2;Regular Air;52,4;Ontario;Small Business;Office Supplies;Appliances;Large Box;01.08.2019;
30915;16.01.2016;Low;20;67,17;Express Air;2,2;Ontario;Corporate;Office Supplies;Pens & Art Supplies;Wrap Bag;16.01.2016;
14534;17.07.2017;Medium;46;798,21;Regular Air;4,3;Manitoba;Corporate;Technology;Computer Peripherals;Small Box;17.07.2017;
37542;19.07.2016;Medium;26;2724,78;Express Air;8,2;Alberta;Corporate;Technology;Telephones and Communication;Small Box;21.07.2016;
57155;16.06.2016;Critical;16;573,03;Express Air;5,5;Ontario;Consumer;Office Supplies;Storage & Organization;Small Box;17.06.2016;
16005;24.12.2019;Not Specified;7;54,6;Regular Air;5,9;Manitoba;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;26.12.2019;
26531;19.06.2018;Medium;26;5017,17;Regular Air;5,6;Northwest Territories;Corporate;Technology;Telephones and Communication;Small Box;21.06.2018;
59591;08.10.2016;Not Specified;29;209,53;Regular Air;7,6;Saskachewan;Home Office;Office Supplies;Paper;Small Box;10.10.2016;
1314;11.05.2016;Medium;4;45,56;Regular Air;4,7;British Columbia;Corporate;Office Supplies;Paper;Wrap Bag;13.05.2016;
